id,id_person1,id_person2
0,673ef5fbcfcd208495001234,673ef5fc0c6b6f1968001234
1,673ef5fbcfcd208495001234,673ef5fd285c595717001234
2,673ef5fbc4ca4238a0001234,673ef5fd1109f8734e001234
3,673ef5fbc4ca4238a0001234,673ef5fcb986700c62001234
4,673ef5fba87ff679a2001234,673ef5fbacc3e04046001234
5,673ef5fbe4da3b7fbb001234,673ef5fd544defa9fd001234
6,673ef5fb8f14e45fce001234,673ef5fc412604be30001234
7,673ef5fbc9f0f895fb001234,673ef5fc4837ba5cd4001234
8,673ef5fbc9f0f895fb001234,673ef5fc022e0ee516001234
9,673ef5fbc9f0f895fb001234,673ef5fd22cdb13a83001234
10,673ef5fb45c48cce2e001234,673ef5fb9ad6aaed51001234
11,673ef5fb45c48cce2e001234,673ef5fda11513a4f1001234
12,673ef5fbd3d9446802001234,673ef5fd8900faaaf2001234
13,673ef5fbd3d9446802001234,673ef5fcbbc12a3a98001234
14,673ef5fbd3d9446802001234,673ef5fcb64a70760b001234
15,673ef5fb6512bd43d9001234,673ef5fbca75910166001234
16,673ef5fb6512bd43d9001234,673ef5fcb7ae8fecf1001234
17,673ef5fbc20ad4d76f001234,673ef5fcbd3ef5c190001234
18,673ef5fbc20ad4d76f001234,673ef5fca543c92188001234
19,673ef5fbc20ad4d76f001234,673ef5fcc23497bd62001234
20,673ef5fbaab3238922001234,673ef5fbb265ce60fe001234
21,673ef5fb9bf31c7ff0001234,673ef5fbcf9a242b70001234
22,673ef5fb9bf31c7ff0001234,673ef5fcb4df9f4940001234
23,673ef5fb9bf31c7ff0001234,673ef5fc90525e70b7001234
24,673ef5fbc74d97b01e001234,673ef5fc32e05616c8001234
25,673ef5fb70efdf2ec9001234,673ef5fd44e215cfff001234
26,673ef5fb1f0e3dad99001234,673ef5fc39b8f72158001234
27,673ef5fb1f0e3dad99001234,673ef5fc296472c954001234
28,673ef5fb98f1370821001234,673ef5fcb3dd760eb0001234
29,673ef5fb98f1370821001234,673ef5fd154ff8944e001234
30,673ef5fb98f1370821001234,673ef5fb2cbca44843001234
31,673ef5fb3c59dc048e001234,673ef5fcfea16e782b001234
32,673ef5fbb6d767d2f8001234,673ef5fc159c1ffe5b001234
33,673ef5fb37693cfc74001234,673ef5fcd8bf84be38001234
34,673ef5fb37693cfc74001234,673ef5fc2aedcba61c001234
35,673ef5fb37693cfc74001234,673ef5fce4270771aa001234
36,673ef5fb1ff1de7740001234,673ef5fd6af97d7dee001234
37,673ef5fb8e296a067a001234,673ef5fc797134c3e4001234
38,673ef5fb8e296a067a001234,673ef5fcf5e62af885001234
39,673ef5fb4e732ced34001234,673ef5fc764a9f2462001234
40,673ef5fb4e732ced34001234,673ef5fc1b9f38268c001234
41,673ef5fb4e732ced34001234,673ef5fc101951fe7e001234
42,673ef5fb33e75ff09d001234,673ef5fb0aa1883c64001234
43,673ef5fb33e75ff09d001234,673ef5fce0126439e0001234
44,673ef5fb33e75ff09d001234,673ef5fc35d02fef7d001234
45,673ef5fb6ea9ab1baa001234,673ef5fcf621585df2001234
46,673ef5fb6ea9ab1baa001234,673ef5fd84cdde86a4001234
47,673ef5fb6ea9ab1baa001234,673ef5fc656f0dbf93001234
48,673ef5fb34173cb38f001234,673ef5fcd15426b9c3001234
49,673ef5fbc16a5320fa001234,673ef5fca1b63b36ba001234
50,673ef5fb182be0c5cd001234,673ef5fbe205ee2a5d001234
