id_event1,id_event2
673ef5fdcfcd208495001234,673ef5fd234833147b001234
673ef5fdc4ca4238a0001234,673ef5fd63cb524a9f001234
673ef5fdc4ca4238a0001234,673ef5fd69d658d0b2001234
673ef5fdc81e728d9d001234,673ef5fd4daa3db355001234
673ef5fde4da3b7fbb001234,673ef5fd5ca3e9b122001234
673ef5fde4da3b7fbb001234,673ef5fda941493eee001234
673ef5fde4da3b7fbb001234,673ef5fdbd70364a8f001234
673ef5fd1679091c5a001234,673ef5fd211c1e0b83001234
673ef5fd8f14e45fce001234,673ef5fd81b3833e25001234
673ef5fdc9f0f895fb001234,673ef5fd544a4f59f6001234
673ef5fd45c48cce2e001234,673ef5fdea119a40c1001234
673ef5fdd3d9446802001234,673ef5fdab2481c9f9001234
673ef5fd6512bd43d9001234,673ef5fde48e132073001234
673ef5fd6512bd43d9001234,673ef5fdfdbd31f202001234
673ef5fdc20ad4d76f001234,673ef5fd69f268fb2b001234
673ef5fdc20ad4d76f001234,673ef5fd147540e129001234
673ef5fd70efdf2ec9001234,673ef5fd0cd6a652ed001234
673ef5fd6f4922f455001234,673ef5fd75e33da9b1001234
673ef5fd1f0e3dad99001234,673ef5fd013a006f03001234
673ef5fd98f1370821001234,673ef5fd1264a061d8001234
673ef5fd98f1370821001234,673ef5fd903ce9225f001234
673ef5fd3c59dc048e001234,673ef5fd06a15eb1c3001234
673ef5fd37693cfc74001234,673ef5fd82edc5c9e2001234
673ef5fd8e296a067a001234,673ef5fddf0aab058c001234
673ef5fd4e732ced34001234,673ef5fd13384ffc9d001234
673ef5fd02e74f10e0001234,673ef5fd8ce5d98937001234
673ef5fd02e74f10e0001234,673ef5fd7437d13677001234
673ef5fd33e75ff09d001234,673ef5fd6c9882bbac001234
673ef5fd33e75ff09d001234,673ef5fdebd6d2f5d6001234
673ef5fd6ea9ab1baa001234,673ef5fd8fb21ee7a2001234
673ef5fd6ea9ab1baa001234,673ef5fd298923c819001234
673ef5fdc16a5320fa001234,673ef5fdc850371fda001234
673ef5fd182be0c5cd001234,673ef5fde49b8b4053001234
