id_person1,id_person2
673ef5fbcfcd208495001234,673ef5fc0c6b6f1968001234
673ef5fbc4ca4238a0001234,673ef5fcb986700c62001234
673ef5fba87ff679a2001234,673ef5fbacc3e04046001234
673ef5fb8f14e45fce001234,673ef5fc412604be30001234
673ef5fbc9f0f895fb001234,673ef5fc4837ba5cd4001234
673ef5fbc9f0f895fb001234,673ef5fc022e0ee516001234
673ef5fb45c48cce2e001234,673ef5fb9ad6aaed51001234
673ef5fbd3d9446802001234,673ef5fcbbc12a3a98001234
673ef5fbd3d9446802001234,673ef5fcb64a70760b001234
673ef5fb6512bd43d9001234,673ef5fbca75910166001234
673ef5fb6512bd43d9001234,673ef5fcb7ae8fecf1001234
673ef5fbc20ad4d76f001234,673ef5fcbd3ef5c190001234
673ef5fbc20ad4d76f001234,673ef5fca543c92188001234
673ef5fbc20ad4d76f001234,673ef5fcc23497bd62001234
673ef5fbaab3238922001234,673ef5fbb265ce60fe001234
673ef5fb9bf31c7ff0001234,673ef5fbcf9a242b70001234
673ef5fb9bf31c7ff0001234,673ef5fcb4df9f4940001234
673ef5fb9bf31c7ff0001234,673ef5fc90525e70b7001234
673ef5fbc74d97b01e001234,673ef5fc32e05616c8001234
673ef5fb1f0e3dad99001234,673ef5fc39b8f72158001234
673ef5fb1f0e3dad99001234,673ef5fc296472c954001234
673ef5fb98f1370821001234,673ef5fcb3dd760eb0001234
673ef5fb98f1370821001234,673ef5fb2cbca44843001234
673ef5fb3c59dc048e001234,673ef5fcfea16e782b001234
673ef5fbb6d767d2f8001234,673ef5fc159c1ffe5b001234
673ef5fb37693cfc74001234,673ef5fcd8bf84be38001234
673ef5fb37693cfc74001234,673ef5fc2aedcba61c001234
673ef5fb37693cfc74001234,673ef5fce4270771aa001234
673ef5fb8e296a067a001234,673ef5fc797134c3e4001234
673ef5fb8e296a067a001234,673ef5fcf5e62af885001234
673ef5fb4e732ced34001234,673ef5fc764a9f2462001234
673ef5fb4e732ced34001234,673ef5fc1b9f38268c001234
673ef5fb4e732ced34001234,673ef5fc101951fe7e001234
673ef5fb33e75ff09d001234,673ef5fb0aa1883c64001234
673ef5fb33e75ff09d001234,673ef5fce0126439e0001234
673ef5fb33e75ff09d001234,673ef5fc35d02fef7d001234
673ef5fb6ea9ab1baa001234,673ef5fcf621585df2001234
673ef5fb6ea9ab1baa001234,673ef5fc656f0dbf93001234
673ef5fb34173cb38f001234,673ef5fcd15426b9c3001234
673ef5fbc16a5320fa001234,673ef5fca1b63b36ba001234
673ef5fb182be0c5cd001234,673ef5fbe205ee2a5d001234
673ef5fbe369853df7001234,673ef5fc7e23052265001234
673ef5fbe369853df7001234,673ef5fc479b4864e5001234
673ef5fb1c383cd30b001234,673ef5fb9b8619251a001234
673ef5fb1c383cd30b001234,673ef5fcc44799b04a001234
673ef5fb19ca14e7ea001234,673ef5fcae3a12e662001234
673ef5fbd67d8ab4f4001234,673ef5fc8cea559c47001234
673ef5fbd645920e39001234,673ef5fce3b80d30a7001234
673ef5fb3416a75f4c001234,673ef5fbaba3b6fd5d001234
673ef5fb17e62166fc001234,673ef5fc23e8466386001234
673ef5fbf7177163c8001234,673ef5fcb130029169001234
673ef5fbf7177163c8001234,673ef5fc65fc52ed8f001234
673ef5fb6c8349cc72001234,673ef5fcbc5fcb0018001234
673ef5fb6c8349cc72001234,673ef5fb7a614fd06c001234
673ef5fbd9d4f495e8001234,673ef5fcabd1c78288001234
673ef5fbd9d4f495e8001234,673ef5fca4df48d0b7001234
673ef5fb67c6a1e7ce001234,673ef5fcfb2e203234001234
673ef5fb67c6a1e7ce001234,673ef5fc12ced2db6f001234
673ef5fb67c6a1e7ce001234,673ef5fc39d352b039001234
673ef5fb642e92efb7001234,673ef5fcf15d337c70001234
673ef5fb642e92efb7001234,673ef5fc575425a3f4001234
673ef5fbf457c545a9001234,673ef5fb01386bd6d8001234
673ef5fbf457c545a9001234,673ef5fcce47be4abd001234
673ef5fbc0c7c76d30001234,673ef5fc64d52e08cc001234
673ef5fb2838023a77001234,673ef5fcb052e2e0c0001234
673ef5fb2838023a77001234,673ef5fcc5ef831f5d001234
673ef5fba684eceee7001234,673ef5fc87ba276ebb001234
673ef5fbb53b3a3d6a001234,673ef5fce6cc48e3a8001234
673ef5fbb53b3a3d6a001234,673ef5fc7385db9a3f001234
673ef5fb9f61408e3a001234,673ef5fc91a4d5c9c7001234
673ef5fb072b030ba1001234,673ef5fccc5f52c987001234
673ef5fb072b030ba1001234,673ef5fcc922de9e01001234
673ef5fb44f683a841001234,673ef5fc1ca5c750a3001234
673ef5fb03afdbd66e001234,673ef5fc60e1deb043001234
673ef5fb3295c76acb001234,673ef5fcbba6bca05f001234
673ef5fb3295c76acb001234,673ef5fc0f304eddb4001234
673ef5fb735b90b456001234,673ef5fbcd758e8f59001234
