id_object,id_location
673ef5fde4da3b7fbb001234,673ef5fd0bb4aec171001234
673ef5fdc51ce410c1001234,673ef5fdb1a59b315f001234
673ef5fdaab3238922001234,673ef5fdf770b62bc8001234
673ef5fd8e296a067a001234,673ef5fdcd00692c3b001234
673ef5fd4e732ced34001234,673ef5fdb4288d9c0e001234
673ef5fd182be0c5cd001234,673ef5fdc9f0f895fb001234
673ef5fdd67d8ab4f4001234,673ef5fda02ffd91ec001234
673ef5fd17e62166fc001234,673ef5fdc9e1074f5b001234
673ef5fdd9d4f495e8001234,673ef5fdac1dd209cb001234
673ef5fdb53b3a3d6a001234,673ef5fd9fd81843ad001234
673ef5fd8613985ec4001234,673ef5fd17e62166fc001234
673ef5fd54229abfcf001234,673ef5fd9b70e8fe62001234
673ef5fdc9e1074f5b001234,673ef5fd9b04d15284001234
673ef5fdeb160de1de001234,673ef5fd48aedb8880001234
673ef5fda0a080f42e001234,673ef5fddb85e2590b001234
673ef5fd3def184ad8001234,673ef5fdeccbc87e4b001234
673ef5fd3988c7f88e001234,673ef5fd68264bdb65001234
673ef5fd903ce9225f001234,673ef5fdad972f10e0001234
673ef5fd47d1e99058001234,673ef5fdcaf1a3dfb5001234
673ef5fdf2217062e9001234,673ef5fd757b505cfd001234
673ef5fd7ef605fc8d001234,673ef5fdf457c545a9001234
673ef5fd2a79ea27c2001234,673ef5fdd395771085001234
673ef5fd1c9ac0159c001234,673ef5fd15de21c670001234
673ef5fd140f6969d5001234,673ef5fdc74d97b01e001234
673ef5fdb73ce398c3001234,673ef5fd072b030ba1001234
673ef5fd9766527f2b001234,673ef5fd7cbbc409ec001234
673ef5fd045117b0e0001234,673ef5fdf5f8590cd5001234
673ef5fdfc22130974001234,673ef5fd5ef059938b001234
673ef5fd4c5bde74a8001234,673ef5fd8d34201a5b001234
673ef5fd6cdd60ea00001234,673ef5fdc7e1249ffc001234
673ef5fda2557a7b2e001234,673ef5fd5751ec3e9a001234
673ef5fd084b6fbb10001234,673ef5fda5771bce93001234
673ef5fde2c0be2456001234,673ef5fd67c6a1e7ce001234
673ef5fdeae27d77ca001234,673ef5fdddb30680a6001234
673ef5fd69adc1e107001234,673ef5fdb337e84de8001234
673ef5fd091d584fce001234,673ef5fd19bc916108001234
673ef5fdeb16372791001234,673ef5fd9bf31c7ff0001234
673ef5fdbcbe3365e6001234,673ef5fd0537fb40a6001234
673ef5fd289dff0766001234,673ef5fd6cd67d9b6f001234
673ef5fdac1dd209cb001234,673ef5fd248e844336001234
673ef5fdf340f1b1f6001234,673ef5fdc3e878e27f001234
673ef5fd9188905e74001234,673ef5fd3328bdf9a4001234
673ef5fd6c9882bbac001234,673ef5fdb2eeb7362e001234
673ef5fdc52f1bd66c001234,673ef5fd67f7fb873e001234
673ef5fd92c8c96e4c001234,673ef5fddd45850574001234
673ef5fd0f49c89d1e001234,673ef5fd0d7de1aca9001234
673ef5fd46ba9f2a69001234,673ef5fdbac9162b47001234
673ef5fd918317b579001234,673ef5fd11b9842e0a001234
673ef5fdf90f2aca5c001234,673ef5fda87ff679a2001234
673ef5fd9c838d2e45001234,673ef5fd6a10bbd480001234
673ef5fd53c3bce66e001234,673ef5fd0584ce565c001234
673ef5fd6883966fd8001234,673ef5fd8f121ce07d001234
673ef5fdef0d3930a7001234,673ef5fddf877f3865001234
673ef5fd577bcc914f001234,673ef5fd0f49c89d1e001234
673ef5fd496e05e1ae001234,673ef5fd812b4ba287001234
673ef5fd9dfcd5e558001234,673ef5fd996a7fa078001234
673ef5fd320722549d001234,673ef5fd140f6969d5001234
673ef5fdcaf1a3dfb5001234,673ef5fdcf004fdc76001234
673ef5fd89f0fd5c92001234,673ef5fdbf8229696f001234
673ef5fdcd00692c3b001234,673ef5fd7eabe3a164001234
673ef5fdfe73f687e5001234,673ef5fda97da629b0001234
673ef5fd40008b9a53001234,673ef5fd4c5bde74a8001234
