id_person,id_object
673ef5fb3295c76acb001234,673ef5fd7e7757b1e1001234
673ef5fb32bb90e897001234,673ef5fd8613985ec4001234
673ef5fb3636638817001234,673ef5fd077e29b11b001234
673ef5fbcedebb6e87001234,673ef5fd6ea9ab1baa001234
673ef5fb6cdd60ea00001234,673ef5fd3def184ad8001234
673ef5fb97e8527fea001234,673ef5fd2723d092b6001234
673ef5fb3435c378bb001234,673ef5fd65b9eea6e1001234
673ef5fb192fc044e7001234,673ef5fdac627ab1cc001234
673ef5fbc8ed21db4f001234,673ef5fdb1a59b315f001234
673ef5fb2e65f2f2fd001234,673ef5fd76dc611d6e001234
673ef5fbeefc9e10eb001234,673ef5fd57aeee35c9001234
