id_person,id_event
673ef5fbcfcd208495001234,673ef5fde56b06c51e001234
673ef5fbc4ca4238a0001234,673ef5fd5878a7ab84001234
673ef5fbc81e728d9d001234,673ef5fdef2a4be547001234
673ef5fba87ff679a2001234,673ef5fd02e74f10e0001234
673ef5fbc9f0f895fb001234,673ef5fd8ca8da41fe001234
673ef5fbd3d9446802001234,673ef5fd92bbd31f8e001234
673ef5fb6512bd43d9001234,673ef5fd38af86134b001234
673ef5fbc51ce410c1001234,673ef5fddd28e50635001234
673ef5fbaab3238922001234,673ef5fd01e00f2f4b001234
673ef5fb9bf31c7ff0001234,673ef5fde00406144c001234
673ef5fbc74d97b01e001234,673ef5fd90599c8fdd001234
673ef5fb70efdf2ec9001234,673ef5fd14bfa6bb14001234
673ef5fb70efdf2ec9001234,673ef5fdeae27d77ca001234
673ef5fb98f1370821001234,673ef5fd4fa53be91b001234
673ef5fb3c59dc048e001234,673ef5fdc4492cbe90001234
673ef5fb3c59dc048e001234,673ef5fd85422afb46001234
673ef5fbb6d767d2f8001234,673ef5fd299fb2142d001234
673ef5fb37693cfc74001234,673ef5fdf5f8590cd5001234
673ef5fb1ff1de7740001234,673ef5fd99bcfcd754001234
673ef5fb4e732ced34001234,673ef5fd0609154fa3001234
673ef5fb02e74f10e0001234,673ef5fd9c01802ddb001234
673ef5fb02e74f10e0001234,673ef5fd008bd5ad93001234
673ef5fb6ea9ab1baa001234,673ef5fd71e09b16e2001234
673ef5fb6ea9ab1baa001234,673ef5fdfe131d7f5a001234
673ef5fb34173cb38f001234,673ef5fd1068c6e4c8001234
673ef5fbe369853df7001234,673ef5fdfc8001f834001234
673ef5fb1c383cd30b001234,673ef5fdacf4b89d3d001234
673ef5fbd67d8ab4f4001234,673ef5fd8bb88f80d3001234
673ef5fbd67d8ab4f4001234,673ef5fd1145a30ff8001234
673ef5fbf7177163c8001234,673ef5fd44f683a841001234
673ef5fbf7177163c8001234,673ef5fd6c14da109e001234
673ef5fb6c8349cc72001234,673ef5fdfaacbcd5bf001234
673ef5fbd9d4f495e8001234,673ef5fd59b90e1005001234
673ef5fbf457c545a9001234,673ef5fdb1d10e7baf001234
673ef5fbf457c545a9001234,673ef5fd2838023a77001234
673ef5fbf457c545a9001234,673ef5fd0e65972dce001234
673ef5fbc0c7c76d30001234,673ef5fd894b77f805001234
673ef5fb2838023a77001234,673ef5fd9fdb62f932001234
673ef5fb9a1158154d001234,673ef5fdfeab05aa91001234
673ef5fbd82c8d1619001234,673ef5fd4c56ff4ce4001234
673ef5fba684eceee7001234,673ef5fd9a49a25d84001234
673ef5fbb53b3a3d6a001234,673ef5fdeba0dc302b001234
673ef5fb9f61408e3a001234,673ef5fd11f524c3fb001234
673ef5fb72b32a1f75001234,673ef5fd81448138f5001234
673ef5fb093f65e080001234,673ef5fdb137fdd1f7001234
673ef5fb093f65e080001234,673ef5fdc559da2ba9001234
673ef5fb072b030ba1001234,673ef5fd0e3a37aa85001234
673ef5fb44f683a841001234,673ef5fdfe7ee8fc19001234
673ef5fb3295c76acb001234,673ef5fdd86ea612de001234
673ef5fbd2ddea18f0001234,673ef5fdcaf1a3dfb5001234
673ef5fbd2ddea18f0001234,673ef5fd98d6f58ab0001234
673ef5fbd2ddea18f0001234,673ef5fd0234c510bc001234
673ef5fbfbd7939d67001234,673ef5fdc0e190d826001234
673ef5fbd1fe173d08001234,673ef5fd5c936263f3001234
673ef5fbf033ab37c3001234,673ef5fd4d8556695c001234
673ef5fb93db85ed90001234,673ef5fded4227734e001234
673ef5fbc7e1249ffc001234,673ef5fd934b535800001234
673ef5fb2a38a4a931001234,673ef5fd991de292e7001234
673ef5fb2a38a4a931001234,673ef5fd6da37dd313001234
673ef5fb7647966b73001234,673ef5fde11943a603001234
673ef5fb7647966b73001234,673ef5fd74071a6733001234
673ef5fb26657d5ff9001234,673ef5fd4a3e00961a001234
