id_event,id_location
673ef5fdeccbc87e4b001234,673ef5fdffeabd223d001234
673ef5fd1679091c5a001234,673ef5fd0353ab4cbe001234
673ef5fdc20ad4d76f001234,673ef5fd3988c7f88e001234
673ef5fd70efdf2ec9001234,673ef5fded265bc903001234
673ef5fd33e75ff09d001234,673ef5fd357a6fdf76001234
673ef5fda5771bce93001234,673ef5fd6cd67d9b6f001234
673ef5fda1d0c6e83f001234,673ef5fd9b72e31dac001234
673ef5fd17e62166fc001234,673ef5fd7cbbc409ec001234
673ef5fdd9d4f495e8001234,673ef5fd06eb61b839001234
673ef5fd642e92efb7001234,673ef5fd26657d5ff9001234
673ef5fdf457c545a9001234,673ef5fd0bb4aec171001234
673ef5fdc0c7c76d30001234,673ef5fd82f2b308c3001234
673ef5fd44f683a841001234,673ef5fda87ff679a2001234
673ef5fde2c420d928001234,673ef5fdeecca5b636001234
673ef5fdd2ddea18f0001234,673ef5fdd4c2e4a329001234
673ef5fdd09bf41544001234,673ef5fd9fd81843ad001234
673ef5fdfbd7939d67001234,673ef5fdc361bc7b2c001234
673ef5fdd1fe173d08001234,673ef5fdd09bf41544001234
673ef5fd43ec517d68001234,673ef5fd8ebda540cb001234
673ef5fdc7e1249ffc001234,673ef5fd1afa34a7f9001234
673ef5fde2ef524fbf001234,673ef5fd4734ba6f3d001234
673ef5fd38b3eff8ba001234,673ef5fdc3992e9a68001234
673ef5fd65b9eea6e1001234,673ef5fd432aca3a1e001234
673ef5fda97da629b0001234,673ef5fda87ff679a2001234
673ef5fd7f6ffaa6bb001234,673ef5fde555ebe0ce001234
673ef5fd76dc611d6e001234,673ef5fdabd815286b001234
673ef5fda5e0013237001234,673ef5fd39461a19e9001234
673ef5fdb3e3e393c7001234,673ef5fdef0d3930a7001234
673ef5fd1d7f7abc18001234,673ef5fd19ca14e7ea001234
673ef5fd0640966322001234,673ef5fdaba3b6fd5d001234
673ef5fd8f53295a73001234,673ef5fdc9f0f895fb001234
673ef5fd4c5bde74a8001234,673ef5fd006f52e910001234
673ef5fdeecca5b636001234,673ef5fdf7177163c8001234
673ef5fda2557a7b2e001234,673ef5fd41ae36ecb9001234
673ef5fda597e50502001234,673ef5fd1385974ed5001234
673ef5fd84d9ee44e4001234,673ef5fdfe131d7f5a001234
673ef5fd3644a684f9001234,673ef5fd8c19f571e2001234
673ef5fd69adc1e107001234,673ef5fdaab3238922001234
673ef5fd6f3ef77ac0001234,673ef5fd7f100b7b36001234
673ef5fd45fbc6d3e0001234,673ef5fde165421110001234
673ef5fdc0e190d826001234,673ef5fd15d4e891d7001234
673ef5fdec8ce6abb3001234,673ef5fd8e296a067a001234
673ef5fd115f895031001234,673ef5fd5ef698cd9f001234
673ef5fd705f217283001234,673ef5fdc9f0f895fb001234
673ef5fd6da9003b74001234,673ef5fdd81f9c1be2001234
673ef5fd9b04d15284001234,673ef5fdabd815286b001234
673ef5fd01161aaa0b001234,673ef5fd8e98d81f82001234
673ef5fd38db3aed92001234,673ef5fda97da629b0001234
673ef5fd7f100b7b36001234,673ef5fd5f2c22cb4a001234
673ef5fd4734ba6f3d001234,673ef5fd55743cc039001234
673ef5fd63923f49e5001234,673ef5fdae0eb3eed3001234
673ef5fddb8e1af0cb001234,673ef5fd577bcc914f001234
673ef5fd07cdfd2337001234,673ef5fdd07e70efcf001234
673ef5fd6a9aeddfc6001234,673ef5fd1c9ac0159c001234
673ef5fd46ba9f2a69001234,673ef5fd5dd9db5e03001234
673ef5fd9c838d2e45001234,673ef5fdbac9162b47001234
673ef5fd1700002963001234,673ef5fd812b4ba287001234
673ef5fd11b9842e0a001234,673ef5fd71a3cb155f001234
673ef5fd37bc2f75bf001234,673ef5fda2557a7b2e001234
673ef5fd8e98d81f82001234,673ef5fda9a1d5317a001234
673ef5fdeddea82ad2001234,673ef5fde3796ae838001234
673ef5fda666587afd001234,673ef5fd9c82c7143c001234
673ef5fd819f46e52c001234,673ef5fdb5dc4e5d9b001234
673ef5fd13f9896df6001234,673ef5fd25ddc0f8c9001234
673ef5fdc5ff2543b5001234,673ef5fd9f61408e3a001234
673ef5fdaa942ab2bf001234,673ef5fd4e4b5fbbbb001234
673ef5fde7b24b112a001234,673ef5fde00da03b68001234
673ef5fdcf004fdc76001234,673ef5fd3644a684f9001234
673ef5fdd709f38ef7001234,673ef5fd18997733ec001234
673ef5fd41f1f19176001234,673ef5fdccb1d45fb7001234
673ef5fd8efb100a29001234,673ef5fd310dcbbf4c001234
673ef5fd18d8042386001234,673ef5fdb3967a0e93001234
673ef5fd816b112c61001234,673ef5fdb4a528955b001234
673ef5fd4f4adcbf8c001234,673ef5fd218a0aefd1001234
673ef5fdbbcbff5c1f001234,673ef5fdef575e8837001234
673ef5fd0d0fd7c6e0001234,673ef5fd0640966322001234
673ef5fd0deb1c5481001234,673ef5fd352fe25daf001234
673ef5fd7eacb53257001234,673ef5fdcd00692c3b001234
673ef5fde0c641195b001234,673ef5fd25b2822c2f001234
673ef5fd019d385eb6001234,673ef5fdf2217062e9001234
673ef5fd49ae49a23f001234,673ef5fd55743cc039001234
673ef5fde44fea3bec001234,673ef5fd539fd53b59001234
673ef5fd42998cf32d001234,673ef5fde7f8a7fb0b001234
673ef5fd98b2979500001234,673ef5fdd34ab169b7001234
673ef5fd26337353b7001234,673ef5fd605ff764c6001234
673ef5fd8e6b42f164001234,673ef5fda597e50502001234
673ef5fd5ef0b4eba3001234,673ef5fdbcbe3365e6001234
673ef5fd598b3e71ec001234,673ef5fd53c3bce66e001234
673ef5fdeba0dc302b001234,673ef5fd71a3cb155f001234
673ef5fdc3c59e5f8b001234,673ef5fde96ed478da001234
673ef5fd854d9fca60001234,673ef5fd7fe1f8abaa001234
673ef5fd55a7cf9c71001234,673ef5fd766ebcd596001234
673ef5fd2f55707d41001234,673ef5fdd61e4bbd63001234
673ef5fdb534ba6823001234,673ef5fd46922a0880001234
673ef5fd5b69b9cb83001234,673ef5fd37bc2f75bf001234
673ef5fdff4d5fbbaf001234,673ef5fd3416a75f4c001234
673ef5fd2d6cc4b2d1001234,673ef5fd2f2b265625001234
673ef5fd2b8a61594b001234,673ef5fd233509073e001234
673ef5fdebd9629fc3001234,673ef5fdad61ab1432001234
