incremental_id,type,serial_number,id
0,Knife,59b4b4c5-a62b-4c32-ad22-32abfa08003c,673ef5fdcfcd208495001234
1,Gun,ec39667f-51ac-4cfb-a727-84283f09ad94,673ef5fdc4ca4238a0001234
2,Knife,a81b7f18-ca92-4611-b83b-805ef515bf62,673ef5fdc81e728d9d001234
3,Hammer,a8a2332e-7767-4307-9671-f709e55597c0,673ef5fdeccbc87e4b001234
4,Gun,8a4bede6-7134-4343-b422-f41b0ae503df,673ef5fda87ff679a2001234
5,Ax,1a545b73-0496-415f-bbce-fa63b83af962,673ef5fde4da3b7fbb001234
6,Hammer,6f548926-58e7-4aae-9a44-9d3f9ba6e044,673ef5fd1679091c5a001234
7,Ax,6497d354-d1de-49c7-a47d-85086cb90f3e,673ef5fd8f14e45fce001234
8,Knife,3b5ccedc-2a5a-4158-83ae-67448132c3ce,673ef5fdc9f0f895fb001234
9,Gun,2ac0311e-80ba-46d6-9548-a1be14c5bfb2,673ef5fd45c48cce2e001234
10,Ax,7726576a-1f4d-4d19-9b3c-6a5b6312d309,673ef5fdd3d9446802001234
11,Gun,98c94b83-7169-4123-81bb-dcff1f35a605,673ef5fd6512bd43d9001234
12,Hammer,79f3957c-46e2-4c20-b6e7-0468a4a94002,673ef5fdc20ad4d76f001234
13,Knife,d242324a-fbf6-4207-832e-3c3a9bd45ab6,673ef5fdc51ce410c1001234
14,Ax,e0aa6803-3d3a-443c-9f44-0d18ef9082a0,673ef5fdaab3238922001234
15,Gun,09058c2a-e35b-4a7a-91f9-4ef5a7e03fb4,673ef5fd9bf31c7ff0001234
16,Hammer,6a21e05c-06ac-469b-8418-97ab2a7734a2,673ef5fdc74d97b01e001234
17,Hammer,6b1283e9-e8ba-4d0a-8e8e-3548c6202e00,673ef5fd70efdf2ec9001234
18,Ax,4535ab69-2913-49aa-9798-29fcc7df7ee8,673ef5fd6f4922f455001234
19,Ax,9ad03ec6-71c0-4bb6-aff1-8c4fce3f5439,673ef5fd1f0e3dad99001234
20,Ax,7fea61e7-115f-4180-b923-2b2f98fa3eb7,673ef5fd98f1370821001234
21,Hammer,73bbbab6-cf64-47aa-a2bd-b0d9937ed5af,673ef5fd3c59dc048e001234
22,Gun,42beb57c-341a-415c-b60f-93ae231bb5bd,673ef5fdb6d767d2f8001234
23,Hammer,35dee35f-3add-4842-a3f9-61e2bd836efe,673ef5fd37693cfc74001234
24,Ax,b11c5198-273f-45ad-8fc5-cdec0ab84ef0,673ef5fd1ff1de7740001234
25,Knife,a2f479cb-31f1-4001-abfb-0b1b7a4878f5,673ef5fd8e296a067a001234
26,Hammer,c1775586-609c-46b1-8d73-e0ee56bae210,673ef5fd4e732ced34001234
27,Hammer,76fd94f9-b5a7-45ce-b5b1-2d06bcef14d5,673ef5fd02e74f10e0001234
28,Knife,6425a2a9-56f8-4293-9fda-44294319eb57,673ef5fd33e75ff09d001234
29,Gun,65afcb1a-79fc-424f-86bd-932a6bf04253,673ef5fd6ea9ab1baa001234
30,Knife,f0acccbd-280c-4d36-b2d1-2773a8272e15,673ef5fd34173cb38f001234
31,Ax,97bbe969-e601-47c2-8cad-450b57a949a0,673ef5fdc16a5320fa001234
32,Ax,2aec5c45-0c7a-42f5-9196-958d4a5d3c6d,673ef5fd6364d3f0f4001234
33,Knife,97b61755-92aa-4a83-90a2-a0cc6ce3b4ab,673ef5fd182be0c5cd001234
34,Gun,c32b1e8f-8b1e-48c1-aeec-bc8ddf1801ca,673ef5fde369853df7001234
35,Gun,6f12805c-3bd3-4e2a-b03e-7c3b5b45a4af,673ef5fd1c383cd30b001234
36,Ax,13835105-d48a-4dc5-9196-2bc7067a9639,673ef5fd19ca14e7ea001234
37,Ax,05784dd6-1180-405b-bd74-3ba082b06538,673ef5fda5bfc9e079001234
38,Knife,6b660a56-ff81-4ccc-9cf1-a4ed9a273c1b,673ef5fda5771bce93001234
39,Knife,da3cbfd6-9ad9-464f-9a21-4f50e70c92ee,673ef5fdd67d8ab4f4001234
40,Ax,8aa1c77a-ecba-43d7-adcb-63804c177f8b,673ef5fdd645920e39001234
41,Ax,7eca0729-d594-4286-947a-d4393af970c1,673ef5fd3416a75f4c001234
42,Knife,c7ac715e-da7a-49c3-ae41-6f730ce46187,673ef5fda1d0c6e83f001234
43,Knife,90e9e2bc-8b9e-46c8-8ab6-d23297fea86f,673ef5fd17e62166fc001234
44,Ax,7a17bd1e-f96d-4f84-a432-3d3f82cb74a3,673ef5fdf7177163c8001234
45,Hammer,7bd195d7-37ff-4482-8cfa-1934eeb08678,673ef5fd6c8349cc72001234
46,Knife,58170761-dd1e-4e8d-8c8e-c88841f78ccf,673ef5fdd9d4f495e8001234
47,Ax,a73f4c12-d786-4a2c-b3ee-1bac5166230e,673ef5fd67c6a1e7ce001234
48,Gun,080de9cd-a1e6-4a61-9196-5e524765cf52,673ef5fd642e92efb7001234
49,Ax,8862c544-ed65-410e-b7ed-ed947da54d6a,673ef5fdf457c545a9001234
50,Hammer,2109324d-65ef-4abc-a28f-1622a35d8bbc,673ef5fdc0c7c76d30001234
51,Knife,0b02ae02-630c-46fa-924c-029373b5228d,673ef5fd2838023a77001234
52,Hammer,490510c6-b5cc-453a-acaa-52236c391af4,673ef5fd9a1158154d001234
53,Hammer,cbe7fc4d-e7db-4cae-a210-24ceface0bf6,673ef5fdd82c8d1619001234
54,Hammer,1272a805-d5ce-45a9-b06a-7c707651a9a7,673ef5fda684eceee7001234
55,Knife,f3943060-2bab-4532-b5a2-a28162c8110b,673ef5fdb53b3a3d6a001234
56,Hammer,3be4b6d1-bdf0-4ee3-9f6d-886c9b7e0b53,673ef5fd9f61408e3a001234
57,Knife,6f41b1e1-fd37-421f-a12e-5ace5e0bce56,673ef5fd72b32a1f75001234
58,Ax,7032c660-bdca-42f5-96bf-f7f1a331e0b3,673ef5fd66f041e16a001234
59,Ax,c4ba8ddf-b4f9-4207-9395-cd31b8543aff,673ef5fd093f65e080001234
60,Gun,23afe42e-e17a-4955-8eb5-91871982e7a8,673ef5fd072b030ba1001234
61,Hammer,a035a7dc-1d38-41c3-8610-21a7cfd1c3af,673ef5fd7f39f8317f001234
62,Ax,a3cf843e-6d9f-43ac-b075-cb498a1f8c43,673ef5fd44f683a841001234
63,Ax,aabba159-a3ad-4df4-84e8-06e5b76aa3f9,673ef5fd03afdbd66e001234
64,Ax,cf1fccf5-0f61-4936-b800-fb085769548e,673ef5fdea5d2f1c46001234
